Country,Default Probability (%),Rating,Implied Spread (bps),Rating Outlook,Confidence Interval Lower,Confidence Interval Upper,Volatility,Base Case PD,Upside Case PD,Downside Case PD,Expected PD,Debt/GDP,Deficit/GDP,Current Account/GDP,Inflation (5yr),GDP per Capita,Unemployment,Institutional Quality
Greece,0.41,BBB+,8,Negative,0.39,0.41,0.01,0.41,0.41,0.42,0.41,150.89,-0.32,-6.93,3.15,24.72,10.1,57.63
France,0.4,BBB+,8,Stable,0.36,0.44,0.03,0.4,0.38,0.42,0.4,113.11,-5.79,0.4,3.3,46.2,7.38,70.54
Italy,0.35,BBB+,7,Negative,0.31,0.39,0.03,0.35,0.34,0.37,0.35,135.29,-3.45,1.13,3.5,40.22,6.56,62.98
Belgium,0.3,A-,5,Negative,0.26,0.33,0.02,0.3,0.28,0.32,0.3,104.47,-4.42,-0.85,4.12,56.27,5.7,71.89
Spain,0.25,A-,5,Negative,0.22,0.29,0.02,0.25,0.24,0.27,0.25,101.82,-3.15,3.02,3.45,35.09,11.35,64.6
Portugal,0.18,A,3,Negative,0.15,0.2,0.02,0.18,0.18,0.18,0.18,94.93,0.7,2.15,3.37,28.92,6.47,68.1
Finland,0.15,A+,2,Negative,0.14,0.16,0.01,0.15,0.13,0.16,0.15,82.53,-4.21,0.3,2.99,53.33,8.4,83.46
Austria,0.15,A,3,Negative,0.14,0.17,0.01,0.15,0.14,0.18,0.16,81.21,-4.69,2.42,4.68,56.91,5.42,75.69
Cyprus,0.14,A+,2,Negative,0.13,0.15,0.01,0.14,0.15,0.13,0.14,65.39,4.51,-6.83,3.09,38.62,4.86,62.87
Slovakia,0.13,A+,2,Negative,0.12,0.13,0.0,0.13,0.12,0.13,0.13,,,,,,,50.0
Malta,0.12,A+,2,Negative,0.11,0.13,0.0,0.12,0.11,0.14,0.12,48.58,-3.79,6.08,3.13,43.99,3.12,62.23
Germany,0.11,A+,2,Negative,0.09,0.12,0.01,0.11,0.09,0.12,0.11,63.89,-2.76,5.73,4.15,54.99,3.41,76.35
Ireland,0.11,A+,2,Negative,0.11,0.12,0.0,0.11,0.13,0.1,0.11,41.11,4.38,17.16,3.31,106.46,4.3,79.78
Croatia,0.11,A+,2,Negative,0.11,0.12,0.0,0.11,0.1,0.13,0.12,57.65,-2.14,-1.24,5.15,23.99,5.46,60.22
Slovenia,0.11,A+,2,Negative,0.1,0.12,0.01,0.11,0.1,0.12,0.11,67.04,-0.89,4.45,4.02,34.12,3.67,68.28
Latvia,0.1,AA-,1,Negative,0.09,0.1,0.0,0.1,0.08,0.11,0.1,47.36,-1.82,-2.11,6.19,23.24,6.93,67.3
Estonia,0.09,AA-,1,Negative,0.08,0.09,0.0,0.09,0.07,0.1,0.09,23.62,-1.69,-1.13,7.23,31.17,7.5,75.13
Lithuania,0.09,AA-,1,Negative,0.08,0.1,0.0,0.09,0.08,0.1,0.09,38.22,-1.28,2.47,6.82,29.34,7.13,70.83
Netherlands,0.08,AA-,1,Negative,0.08,0.09,0.0,0.08,0.07,0.09,0.08,43.23,-1.05,9.94,4.58,68.39,3.66,80.47
Luxembourg,0.07,AA-,1,Negative,0.06,0.07,0.0,0.07,0.08,0.06,0.07,25.98,1.03,13.78,3.36,138.63,5.74,84.03
